# Successful Slingshot Parameters
# Format: Vx(m/s), Vy(m/s), Speed(m/s), HitTime(steps)
# Target: [4e7, 3e7] km, Radius: 100,000 km
# Spacecraft initial position: [3e7, -2e7] km

 -3890,   2570,    4662,  54
 -3730,   2710,    4611,  79
 -3390,   2220,    4052,  54
 -3180,   2150,    3839,  61
 -3150,   2070,    3769,  54
 -3090,   2400,    3913,  93
 -3060,   1850,    3576,  58
 -3050,   1810,    3547,  59
 -3050,   1850,    3567,  58
 -2860,   1550,    3253,  62
 -2800,   1480,    3167,  63
 -2790,   1470,    3154,  63
 -2730,   1400,    3068,  64
 -2720,   1750,    3234,  58
 -2660,   1320,    2970,  65
 -2600,   1250,    2885,  66
 -2540,   1180,    2801,  67
 -2480,   1110,    2717,  68
 -2430,   1050,    2647,  69
 -1830,   1500,    2366,  79
 -1700,   1200,    2081,  59
